morphology_label,metric,estimate,ci_lower_95,ci_upper_95,n_bootstrap,n_scenes,bootstrap_unit
branching,detection_retention_object_weighted,0.0049504950495049506,0.0,0.011278498666019883,5000,52,sdgsat_scene_id
branching,signal_floor_fraction_object_weighted,0.995049504950495,0.9887215013339802,1.0,5000,52,sdgsat_scene_id
branching,signal_retention_median_valid_ref005,0.2949162230721493,0.2376798494369568,0.34582629604849097,5000,52,sdgsat_scene_id
branching,signal_retention_median_valid_ref010,0.2832410890510408,0.23368046135196602,0.3330832068094874,5000,52,sdgsat_scene_id
diffuse,detection_retention_object_weighted,0.021359223300970873,0.008291616451901981,0.03693985577522172,5000,51,sdgsat_scene_id
diffuse,signal_floor_fraction_object_weighted,0.9786407766990292,0.9630601442247783,0.9917083835480981,5000,51,sdgsat_scene_id
diffuse,signal_retention_median_valid_ref005,0.3269244616544125,0.2755209298838783,0.3931424786148761,5000,51,sdgsat_scene_id
diffuse,signal_retention_median_valid_ref010,0.2920494362447547,0.243603979934303,0.3521183478376374,5000,51,sdgsat_scene_id
single_core_linear,detection_retention_object_weighted,0.010178117048346057,0.004137504736642668,0.01652109486061248,5000,69,sdgsat_scene_id
single_core_linear,signal_floor_fraction_object_weighted,0.989821882951654,0.9834789051393875,0.9958624952633574,5000,69,sdgsat_scene_id
single_core_linear,signal_retention_median_valid_ref005,0.6752690877039977,0.5699576299881393,0.7533643521535636,5000,69,sdgsat_scene_id
single_core_linear,signal_retention_median_valid_ref010,0.5530343955998611,0.4161877403830796,0.6690671533359229,5000,69,sdgsat_scene_id
small_fragment,detection_retention_object_weighted,0.02546296296296296,0.015325460901934153,0.036384154647766946,5000,80,sdgsat_scene_id
small_fragment,signal_floor_fraction_object_weighted,0.9745370370370371,0.963615845352233,0.9846745390980658,5000,80,sdgsat_scene_id
small_fragment,signal_retention_median_valid_ref005,0.5941800292448587,0.4971240931293607,0.6826433491471897,5000,80,sdgsat_scene_id
small_fragment,signal_retention_median_valid_ref010,0.4814138333855529,0.3774694816622944,0.5714820833698432,5000,80,sdgsat_scene_id
unknown,detection_retention_object_weighted,0.007246376811594203,0.0,0.018519951840385254,5000,53,sdgsat_scene_id
unknown,signal_floor_fraction_object_weighted,0.9927536231884058,0.9814800481596148,1.0,5000,53,sdgsat_scene_id
unknown,signal_retention_median_valid_ref005,0.521094039456749,0.423706373358803,0.6647021160065554,5000,53,sdgsat_scene_id
unknown,signal_retention_median_valid_ref010,0.4516491157127418,0.3496308635622812,0.6433454165277063,5000,53,sdgsat_scene_id
