sdgsat_scene_id,datetime_utc,region,sensor_class,sensor_matched,platform,matched_time_utc,time_difference_min,view_zenith_deg,parallax_correction_status,background_class,background_class_method,contrail_area_30m_km2,n_30m_objects,n_sensor_usable_objects,detection_retention_object_weighted,signal_floor_fraction_object_weighted,signal_retention_median_ref005,signal_retention_median_ref010,product_retrieval_floor_status,morphology_available_flag
KX10_TIS_20221031_W119.07_N40.59_202200172248_L4B,2022-10-31T05:07:08.975785Z,North America,geostationary,GOES_ABI,GOES17,2022-10-31T05:10:31.900000Z,3.382,50.5099233962178,GOES_H10_primary_corrected,heterogeneous_background,rule_based_from_sensor_background_BTD_std_quantiles,898.3548,384,313,0.012779552715654952,0.987220447284345,2.9891271091691527,2.02356788383858,not_evaluated_for_GOES,True
KX10_TIS_20221106_W119.74_N33.64_202200175807_L4B,2022-11-06T17:55:17.154550Z,North America,geostationary,GOES_ABI,GOES17,2022-11-06T17:50:32.100000Z,4.751,43.38133956105955,GOES_H10_primary_corrected,heterogeneous_background,rule_based_from_sensor_background_BTD_std_quantiles,0.0773999999999998,3,3,0.0,1.0,,,not_evaluated_for_GOES,True
KX10_TIS_20221107_E48.43_N23.47_202200176583_L4B,2022-11-07T06:35:57.618574Z,Middle East,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,unknown,rule_based_from_sensor_background_BTD_std_quantiles,0.5678999999999996,7,0,,,,,MOD06_evaluated,True
KX10_TIS_20221107_E48.85_N25.36_202200176586_L4B,2022-11-07T06:35:27.698886Z,Middle East,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,low_variability_background,rule_based_from_sensor_background_BTD_std_quantiles,315.51840000000004,46,42,0.023809523809523808,0.9761904761904762,0.2974821321837949,0.2628406196208948,MOD06_evaluated,True
KX10_TIS_20221107_E49.28_N27.24_202200176588_L4B,2022-11-07T06:34:57.779189Z,Middle East,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,moderate_variability_background,rule_based_from_sensor_background_BTD_std_quantiles,1157.7213,132,129,0.007751937984496124,0.9922480620155039,0.39780032757768,0.2820314029301809,MOD06_evaluated,True
KX10_TIS_20221107_E49.72_N29.12_202200176589_L4B,2022-11-07T06:34:27.859472Z,Middle East,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,moderate_variability_background,rule_based_from_sensor_background_BTD_std_quantiles,2946.6261,154,143,0.006993006993006993,0.993006993006993,0.4393338113318936,0.3774694816622944,MOD06_evaluated,True
KX10_TIS_20221108_E55.04_N63.35_202200177401_L4B,2022-11-08T16:56:15.694116Z,Other,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,low_variability_background,rule_based_from_sensor_background_BTD_std_quantiles,533.2743,56,53,0.0,1.0,0.2133466024636269,0.1880592565003128,MOD06_evaluated,True
KX10_TIS_20221108_E56.31_N61.53_202200177408_L4B,2022-11-08T16:55:45.774429Z,Other,polar_orbiting,MODIS_Terra,Terra,,,,not_applicable_for_MODIS,low_variability_background,rule_based_from_sensor_background_BTD_std_quantiles,383.859,52,52,0.019230769230769232,0.9807692307692307,0.27786788590797806,0.2575952965677462,MOD06_evaluated,True
KX10_TIS_20221111_W63.64_S35.31_202200178729_L4B,2022-11-11T13:30:12.217843Z,South America,geostationary,GOES_ABI,GOES16,2022-11-11T13:30:21Z,0.146,42.81940013707351,GOES_H10_primary_corrected,heterogeneous_background,rule_based_from_sensor_background_BTD_std_quantiles,63.1242,30,27,0.0,1.0,0.8576899412024295,0.4644075342280424,not_evaluated_for_GOES,True
KX10_TIS_20221113_W128.54_N51.48_202200179339_L4A,2022-11-13T18:48:36.299500Z,North America,geostationary,GOES_ABI,GOES17,2022-11-13T18:50:32.100000Z,1.930,59.48088283838409,GOES_H10_primary_corrected,heterogeneous_background,rule_based_from_sensor_background_BTD_std_quantiles,731.9547,292,240,0.0875,0.9125,2.2653496529097223,1.705663742891709,not_evaluated_for_GOES,True
