morphology_label,sensor,n_objects,n_usable_objects,detection_retention,signal_floor_fraction,signal_retention_median_ref005,signal_retention_median_ref010,product_retrieval_floor_fraction_if_available,median_area_km2,notes
branching,MODIS_Terra_BTD,763,606,0.0049504950495049506,0.995049504950495,0.2949162230721493,0.2832410890510408,0.5844155844155844,10.2681,rule_based_morphology_group_not_manual_truth
diffuse,MODIS_Terra_BTD,632,515,0.021359223300970873,0.9786407766990292,0.3269244616544125,0.2920494362447547,0.6019417475728155,4.41315,rule_based_morphology_group_not_manual_truth
single_core_linear,MODIS_Terra_BTD,913,786,0.010178117048346057,0.989821882951654,0.6752690877039977,0.5530343955998611,0.5837837837837838,1.2069,rule_based_morphology_group_not_manual_truth
small_fragment,MODIS_Terra_BTD,1180,864,0.02546296296296296,0.9745370370370371,0.5941800292448587,0.4814138333855529,0.7192118226600985,0.0441,rule_based_morphology_group_not_manual_truth
unknown,MODIS_Terra_BTD,342,276,0.007246376811594203,0.9927536231884058,0.521094039456749,0.4516491157127418,0.631578947368421,0.6768000000000001,rule_based_morphology_group_not_manual_truth
branching,GOES_ABI_H10_parallax_corrected,1262,1254,0.04146730462519936,0.9585326953748007,1.694254085126278,1.3384708025107903,,2.2567500000000003,rule_based_morphology_group_not_manual_truth; GOES_cloud_product_retrieval_floor_not_evaluated
diffuse,GOES_ABI_H10_parallax_corrected,515,510,0.025490196078431372,0.9745098039215686,1.676528207765088,1.3713380991843451,,1.3779,rule_based_morphology_group_not_manual_truth; GOES_cloud_product_retrieval_floor_not_evaluated
single_core_linear,GOES_ABI_H10_parallax_corrected,609,601,0.02329450915141431,0.9767054908485857,1.5420985948133357,1.075890887772788,,0.6228,rule_based_morphology_group_not_manual_truth; GOES_cloud_product_retrieval_floor_not_evaluated
small_fragment,GOES_ABI_H10_parallax_corrected,2502,1506,0.049800796812749,0.950199203187251,1.6639040204018696,1.4296084979320454,,0.0171,rule_based_morphology_group_not_manual_truth; GOES_cloud_product_retrieval_floor_not_evaluated
unknown,GOES_ABI_H10_parallax_corrected,314,313,0.01597444089456869,0.9840255591054313,1.5142216107260311,1.1198879236687804,,0.5958,rule_based_morphology_group_not_manual_truth; GOES_cloud_product_retrieval_floor_not_evaluated
double_core_candidate,MODIS_Terra_BTD,0,0,,,,,,,no_double_core_candidates_identified_by_conservative_rule
double_core_candidate,GOES_ABI_H10_parallax_corrected,0,0,,,,,,,no_double_core_candidates_identified_by_conservative_rule
