sdgsat_scene_id,both_usable_objects,modis_signal_floor_fraction,goes_H10_signal_floor_fraction,morphology_labels_present,support_ok_fraction,selection_score,selection_reason
KX10_TIS_20230219_W100.37_N32.72_202300022686_L4B,482,0.9813278008298755,0.9937759336099585,5,1.0,551.5020746887967,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230823_W95.93_N35.59_202300389873_L4B,250,0.988,0.936,5,1.0,318.48,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230131_W119.90_N41.54_202300015801_L4B,204,0.9950980392156863,0.8921568627450981,5,1.0,271.7450980392157,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20231101_W100.40_N37.77_202300421642_L4B,192,0.9947916666666666,0.9635416666666666,5,1.0,261.1666666666667,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20240204_W86.72_N40.25_202400011216_L4B,168,0.9880952380952381,0.9880952380952381,5,1.0,237.52380952380952,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230531_W72.75_N5.11_202300357274_L4B,106,0.9811320754716981,0.9245283018867925,5,1.0,174.11320754716982,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20221113_W128.54_N51.48_202200179339_L4A,97,1.0,0.9072164948453608,5,1.0,165.1443298969072,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20231026_W76.01_N42.79_202300419083_L4B,95,0.9789473684210527,0.9894736842105263,5,1.0,164.3684210526316,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230331_W110.37_N53.53_202300225859_L4B,88,0.9431818181818182,0.9431818181818182,5,1.0,155.72727272727272,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20240624_W108.93_N31.24_202400065056_L4B,86,0.9418604651162791,0.9534883720930233,5,1.0,153.90697674418607,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230228_W41.53_N60.43_202300027740_L4B,84,1.0,0.9166666666666666,5,1.0,152.33333333333331,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230409_W105.23_N20.77_202300291259_L4B,76,0.9736842105263158,1.0,5,1.0,145.4736842105263,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20221128_W45.90_S17.87_202200186085_L4B,71,1.0,0.9577464788732394,5,1.0,140.15492957746477,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230718_W82.02_N25.74_202300373146_L4B,69,1.0,0.9420289855072463,5,1.0,137.84057971014494,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20240129_W117.81_N34.59_202400009638_L4B,66,1.0,0.9545454545454546,5,1.0,135.0909090909091,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230815_W121.12_N59.77_202300386909_L4B,65,0.9692307692307692,1.0,4,1.0,129.3846153846154,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20231004_W107.97_N24.73_202300406776_L4B,57,0.9473684210526315,0.8947368421052632,5,1.0,123.84210526315789,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20231009_W85.32_N28.59_202300408053_L4B,48,1.0,0.9583333333333334,5,1.0,117.16666666666667,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
KX10_TIS_20230110_W72.76_S46.21_202300004796_L4B,49,0.9183673469387755,0.8775510204081632,5,1.0,114.91836734693878,max_score_from_both_usable_floor_fraction_morphology_diversity_support_stability
