key_number,value,source_table
MODIS_v1_processed_scenes,81,evidence_A_four_metrics_summary.csv
MODIS_v1_total_objects,3830,evidence_A_four_metrics_summary.csv
MODIS_detection_retention,0.015097,evidence_A_four_metrics_summary.csv
MODIS_signal_floor_fraction,0.984903,evidence_A_four_metrics_summary.csv
MODIS_signal_retention_median_ref005,0.445971,evidence_A_four_metrics_summary.csv
MOD06_product_retrieval_floor_fraction_evaluable,0.629630,evidence_A_four_metrics_summary.csv
GOES_H10_processed_scenes,61.0,evidence_A_four_metrics_summary.csv
GOES_H10_total_objects,5202.0,evidence_A_four_metrics_summary.csv
GOES_H10_both_usable_objects,2847.0,evidence_A_four_metrics_summary.csv
GOES_H10_detection_retention,0.038002,evidence_A_four_metrics_summary.csv
GOES_H10_signal_floor_fraction,0.961998,evidence_A_four_metrics_summary.csv
GOES_H8_H10_H12_retention_ref005_range,1.533443-1.649801,evidence_A_GOES_height_sensitivity_summary.csv
both_floor_fraction_H10,0.938532,evidence_A_four_metrics_summary.csv
common_processed_scenes,53,evidence_A_four_metrics_summary.csv
