morphology_label,sensor,estimate,ci_lower_95,ci_upper_95,n_usable_objects,n_scenes,final_summary_detection_retention
single_core_linear,GOES H10,0.02329450915141431,0.012454301811149475,0.03750293887147335,601,43,0.0232945091514143
single_core_linear,MODIS,0.010178117048346057,0.004023958069004139,0.016667075564278704,786,61,0.010178117048346
branching,GOES H10,0.04146730462519936,0.024553087332526775,0.062213458584426326,1254,55,0.0414673046251993
branching,MODIS,0.0049504950495049506,0.0,0.0109499077564771,606,46,0.0049504950495049
diffuse,GOES H10,0.025490196078431372,0.012143310082435004,0.042033849104777296,510,49,0.0254901960784313
diffuse,MODIS,0.021359223300970873,0.008515614532090423,0.036102715088685934,515,47,0.0213592233009708
small_fragment,GOES H10,0.049800796812749,0.03149372771180992,0.07012461303001843,1506,59,0.049800796812749
small_fragment,MODIS,0.02546296296296296,0.014607786586538246,0.035575514211626094,864,74,0.0254629629629629
unknown,GOES H10,0.01597444089456869,0.0037157761918975387,0.02941393371507895,313,48,0.0159744408945686
unknown,MODIS,0.007246376811594203,0.0,0.018730125079499678,276,48,0.0072463768115942
