sensor,bin_left,bin_right,bin_center,n,median,p25,p75
GOES H10,0.003000000000000001,0.005461692609078241,0.004047848543020691,153,1.8098254092301125,0.6462240839647589,3.9151793660005705
GOES H10,0.005461692609078241,0.009943362052019957,0.007369368156694742,187,1.821635970962936,0.7103159765854195,3.1770048254604566
GOES H10,0.009943362052019957,0.018102529009635493,0.013416407864998738,241,1.5034720903256331,0.5507863301322847,3.414071599402522
GOES H10,0.018102529009635493,0.032956816299183525,0.02442543189221426,346,1.6145232525168498,0.7086063759587187,3.420146263299317
GOES H10,0.032956816299183525,0.05999999999999997,0.04446806694641685,399,1.5024325468593782,0.6749186682670039,3.206091970533918
GOES H10,0.05999999999999997,0.10923385218156477,0.08095697086041376,434,1.4787040571430567,0.7087805480809187,3.1007672244922437
GOES H10,0.10923385218156477,0.19886724104039916,0.1473873631338948,455,1.69522882473382,0.7437334219130851,3.027650142685867
GOES H10,0.19886724104039916,0.3620505801927096,0.26832815729997467,353,1.9918401943820805,0.8030985981237322,4.128248215347393
GOES H10,0.3620505801927096,0.65913632598367,0.4885086378442849,44,2.372294461493667,0.6178634738727206,3.8554469490030354
MODIS,0.003000000000000001,0.005461692609078241,0.004047848543020691,30,0.42709795224731956,0.19220861368150644,1.0022144036893106
MODIS,0.005461692609078241,0.009943362052019957,0.007369368156694742,121,0.297078237570153,0.1130413991841033,0.9202059673144016
MODIS,0.009943362052019957,0.018102529009635493,0.013416407864998738,136,0.40931245420320195,0.17730642309865294,1.010927143418389
MODIS,0.018102529009635493,0.032956816299183525,0.02442543189221426,196,0.4198581568565276,0.15956481174484247,0.9915168797865013
MODIS,0.032956816299183525,0.05999999999999997,0.04446806694641685,292,0.5563622636788993,0.20850484150005597,1.2534591301618088
MODIS,0.05999999999999997,0.10923385218156477,0.08095697086041376,354,0.5386015623620869,0.21154899877113043,1.1220549866522869
MODIS,0.10923385218156477,0.19886724104039916,0.1473873631338948,451,0.4699766684790288,0.18088579644180436,1.0444401037641031
MODIS,0.19886724104039916,0.3620505801927096,0.26832815729997467,617,0.3474926577746237,0.1425877659067123,0.8419340650949992
MODIS,0.3620505801927096,0.65913632598367,0.4885086378442849,352,0.24994821902538544,0.11581583735176157,0.5769121736235967
