sensor,bin_left,bin_right,bin_center,n,median,p25,p75
GOES H10,0.003000000000000001,0.005461692609078241,0.004047848543020691,153,0.3805546760559082,0.1365772485733031,0.7335769832134247
GOES H10,0.005461692609078241,0.009943362052019957,0.007369368156694742,187,0.37017256021499634,0.1654495298862457,0.7889770790934563
GOES H10,0.009943362052019957,0.018102529009635493,0.013416407864998738,241,0.2905674576759338,0.1427143812179566,0.5412804484367371
GOES H10,0.018102529009635493,0.032956816299183525,0.02442543189221426,346,0.31730633974075323,0.12984365224838254,0.6011937130242587
GOES H10,0.032956816299183525,0.05999999999999997,0.04446806694641685,399,0.2930047512054444,0.13539266586303705,0.5939906239509583
GOES H10,0.05999999999999997,0.10923385218156477,0.08095697086041376,434,0.2796175479888916,0.13977788109332323,0.5785825774073601
GOES H10,0.10923385218156477,0.19886724104039916,0.1473873631338948,455,0.2786476612091065,0.134960331954062,0.6196783110499382
GOES H10,0.19886724104039916,0.3620505801927096,0.26832815729997467,353,0.3650605082511902,0.1741033792495727,0.7204494178295135
GOES H10,0.3620505801927096,0.65913632598367,0.4885086378442849,44,0.3859462440013885,0.203865997493267,0.7941755726933479
MODIS,0.003000000000000001,0.005461692609078241,0.004047848543020691,30,0.25016066431999207,0.12907248735427848,0.4600438773632049
MODIS,0.005461692609078241,0.009943362052019957,0.007369368156694742,121,0.3264810740947723,0.1600382328033447,0.6581996977329254
MODIS,0.009943362052019957,0.018102529009635493,0.013416407864998738,136,0.3037636876106262,0.14418961107730865,0.5515290796756744
MODIS,0.018102529009635493,0.032956816299183525,0.02442543189221426,196,0.26493933051824564,0.12214897200465202,0.5230663791298866
MODIS,0.032956816299183525,0.05999999999999997,0.04446806694641685,292,0.260232537984848,0.13420047983527192,0.4635827038437128
MODIS,0.05999999999999997,0.10923385218156477,0.08095697086041376,354,0.24145710468292234,0.09081021696329115,0.46905578672885884
MODIS,0.10923385218156477,0.19886724104039916,0.1473873631338948,451,0.2428518533706665,0.11502141505479804,0.4748515188694
MODIS,0.19886724104039916,0.3620505801927096,0.26832815729997467,617,0.2888755798339844,0.1400142908096313,0.4642717838287353
MODIS,0.3620505801927096,0.65913632598367,0.4885086378442849,352,0.3611726127564907,0.19955949485301971,0.6052615121006966
